Data;Feriado
01/01/2020;Ano Novo
02/02/2020;Nossa Senhora dos Navegantes
24/02/2020;Carnaval
25/02/2020;Carnaval
26/02/2020;Carnaval
01/04/2020;Dia da Mentira
10/04/2020;Sexta-Feira Santa
10/04/2020;Sexta-feira Santa
12/04/2020;Páscoa
21/04/2020;Dia de Tiradentes
01/05/2020;Dia do Trabalho
10/05/2020;Dia das Mães
11/06/2020;Corpus Christi
11/06/2020;Corpus Christi
12/06/2020;Dia dos Namorados
09/08/2020;Dia dos Pais
07/09/2020;Independência do Brasil
20/09/2020;Proc. República Rio Grandense
12/10/2020;Nossa Senhora Aparecida
15/10/2020;Dia do Professor
17/10/2020;Dia do Comércio
28/10/2020;Dia do Servidor Público
02/11/2020;Dia de Finados
02/11/2020;Dia de Finados
15/11/2020;Proclamação da República
20/11/2020;Consciência Negra
25/12/2020;Natal
